subject,predicate,object,metadata
Georgy Flyorov,used,station,"In 1940 , physicists Georgy Flyorov Konstantin Petrzhak used station for their observations of decay of uranium ."
Konstantin Petrzhak,used,station,"In 1940 , physicists Georgy Flyorov Konstantin Petrzhak used station for their observations of decay of uranium ."
physicists,observed,decay of uranium,"In 1940 , physicists Georgy Flyorov Konstantin Petrzhak used station for their observations of decay of uranium ."
station,reduced,potential effect of cosmic rays,The depth of station reduced potential effect of cosmic rays in their work .
pair,discovered,spontaneous fission,"Working at night , pair discovered spontaneous fission ."
Dinamo (Moscow Metro),is,Moscow Metro station,Dinamo ( Moscow Metro ) Dinamo ( ) is Moscow Metro station on Zamoskvoretskaya line .
Dinamo (Moscow Metro),is,Moscow Metro station,Dinamo ( Moscow Metro ) Dinamo ( ) is Moscow Metro station on Zamoskvoretskaya line .
Dinamo (Moscow Metro),opened,11 September 1938,"Dinamo ( Moscow Metro ) Dinamo ( ) is Moscow Metro station on Zamoskvoretskaya line . It opened on 11 September 1938 as part of Lubyanka ( Moscow Metro ) Lubyanka ( ) is station on Sokolnicheskaya Line of Moscow Metro , located under Lubyanka Square ."
Lubyanka (Moscow Metro),is,Moscow Metro station,"Dinamo ( Moscow Metro ) Dinamo ( ) is Moscow Metro station on Zamoskvoretskaya line . It opened on 11 September 1938 as part of Lubyanka ( Moscow Metro ) Lubyanka ( ) is station on Sokolnicheskaya Line of Moscow Metro , located under Lubyanka Square ."
Lubyanka (Moscow Metro),is,Moscow Metro station,"Dinamo ( Moscow Metro ) Dinamo ( ) is Moscow Metro station on Zamoskvoretskaya line . It opened on 11 September 1938 as part of Lubyanka ( Moscow Metro ) Lubyanka ( ) is station on Sokolnicheskaya Line of Moscow Metro , located under Lubyanka Square ."
Lubyanka (Moscow Metro),opened,1935,"The facility , originally called Dzerzhinskaya ( ) station , opened in 1935 as part of first stage of metro ."
Dzerzhinskaya (Moscow Metro),was,Moscow Metro station,"The facility , originally called Dzerzhinskaya ( ) station , opened in 1935 as part of first stage of metro ."
Dzerzhinskaya (Moscow Metro),was,Moscow Metro station,"The facility , originally called Dzerzhinskaya ( ) station , opened in 1935 as part of first stage of metro ."
Dzerzhinskaya (Moscow Metro),was named,Dzerzhinskaya,"The station was originally named Dzerzhinskaya after Dzerzhinsky Square , it was changed on 5 November 1990 after squares original name , Lubyanka , was restored ."
Lubyanka Square,was originally named,Dzerzhinsky Square,"The station was originally named Dzerzhinskaya after Dzerzhinsky Square , it was changed on 5 November 1990 after squares original name , Lubyanka , was restored ."
Lubyanka Square,was restored,Lubyanka,"The station was originally named Dzerzhinskaya after Dzerzhinsky Square , it was changed on 5 November 1990 after squares original name , Lubyanka , was restored ."
Felix Dzerzhinsky,has,bust in station vestibule,There is still bust of Felix Dzerzhinsky in station vestibule .
Construction work,began,December 1933,"Construction work on station began in December 1933 , engineers were faced with extremely difficult soil conditions from outset ."
engineers,faced,difficult soil conditions,"Construction work on station began in December 1933 , engineers were faced with extremely difficult soil conditions from outset ."
Felix Dzerzhinsky,is represented by,bust in station vestibule,There is still bust of Felix Dzerzhinsky in station vestibule .
Construction work on station,began in,December 1933,"Construction work on station began in December 1933 , engineers were faced with extremely difficult soil conditions from outset ."
Engineers,faced with,difficult soil conditions,"Construction work on station began in December 1933 , engineers were faced with extremely difficult soil conditions from outset ."
Lubyanka station,had bomb reported to have gone off at,29 March 2010,"On 29 March 2010 bomb was reported to have gone off at Lubyanka station , on Sokolnicheskaya ( ) , during rush hour , at 756 AM local time ."
Lubyanka station,is located at,Sokolnicheskaya Line of Moscow Metro,"Lubyanka ( ) is station on Sokolnicheskaya Line of Moscow Metro , located under Lubyanka Square ."
Lubyanka station,opened in,1935,"The facility , originally called Dzerzhinskaya ( ) station , opened in 1935 as part of first Bolshaya Lubyanka Street ."
Bolshaya Lubyanka Street,runs north-east from,Lubyanka Square to Sretenka Gates Square on Boulevard Ring,The street runs north-east from Lubyanka Square to Sretenka Gates Square on Boulevard Ring .
Second train carriage,is believed to have been the location of explosion at Lubyanka station,Lubyanka station,"A second explosion was reported at Park Kultury station Lubyanka ( Moscow Metro ) Lubyanka ( ) is station on Sokolnicheskaya Line of Moscow Metro , located under Lubyanka Square . The facility , originally called Dzerzhinskaya ( ) station , opened in 1935 as part of first Bolshaya Lubyanka Street Bolshaya Lubyanka Street is radial street in Moscows Central Administrative Okrug . The street runs north-east from Lubyanka Square to Sretenka Gates Square on Boulevard Ring ."
Lubyanka Square,is connected to,Sretenka Gates Square,The street runs north-east from Lubyanka Square to Sretenka Gates Square on Boulevard Ring .
Bolshaya Lubyanka,is continued by,Sretenka Street,"The path of Bolshaya Lubyanka is continued by Sretenka Street ( to Garden Ring ) , Mira Avenue Yaroslavskoye Shosse is starting stretch of route of M8 highway ( Kholmogory ) , connecting Moscow to Sergiyev Posad , Yaroslavl , Vologda , Arkhangelsk ."
Bolshaya Lubyanka,serves as boundary between,Meshchansky District and Krasnoselsky District,The street serves as boundary between Meshchansky District ( west from Bolshaya Lubyanka ) Krasnoselsky District ( east ) .
Lubyanka,was first mentioned in,1480,"The first mention of name Lubyanka dates from 1480 , it was given to Lubyanka Building Lubyanka ( ) is popular name for headquarters of FSB affiliated prison on Lubyanka Square in Meshchansky District of Moscow , Russia ."
Lubyanka Building,is designed by,Alexander V. Ivanov,It is large Neo-Baroque building with facade of yellow brick designed by Alexander V. Ivanov in 1897 augmented by Aleksey Shchusev from 1940 to 1947 .
Lubyanka Building,was augmented by,Aleksey Shchusev,It is large Neo-Baroque building with facade of yellow brick designed by Alexander V. Ivanov in 1897 augmented by Aleksey Shchusev from 1940 to 1947 .
Lubyanka Building,was previously national headquarters of,KGB,It is large Neo-Baroque building with facade of yellow brick designed by Alexander V. Ivanov in 1897 augmented by Aleksey Shchusev from 1940 to 1947 . It was previously national headquarters of KGB Soviet hammers sickles can still be seen on buildings facade .
Lubyanka Building,is popular name for,"headquarters of FSB affiliated prison on Lubyanka Square in Meshchansky District of Moscow, Russia","Lubyanka Building Lubyanka ( ) is popular name for headquarters of FSB affiliated prison on Lubyanka Square in Meshchansky District of Moscow , Russia ."
Lubyanka Building,is,large Neo-Baroque building,It is large Neo-Baroque building with facade of yellow brick designed by Alexander V. Ivanov in 1897 augmented by Aleksey Shchusev from 1940 to 1947 .
Lubyanka Building,was designed by,Alexander V. Ivanov,It is large Neo-Baroque building with facade of yellow brick designed by Alexander V. Ivanov in 1897 augmented by Aleksey Shchusev from 1940 to 1947 .
Lubyanka Building,was augmented by,Aleksey Shchusev,It is large Neo-Baroque building with facade of yellow brick designed by Alexander V. Ivanov in 1897 augmented by Aleksey Shchusev from 1940 to 1947 .
KGB Soviet hammers sickles,can still be seen on,buildings facade,"It was previously national headquarters of KGB Soviet hammers sickles can still be seen on buildings facade . mechanical clock movement Raketa Monumental . On October 30 , 1990 , Memorial organization erected Solovetsky Stone , monument to victims of Gulag , simple stone from Solovki prison camp in White Sea . In 1991 statue of Dzerzhinsky was removed by liberal protesters following failure of coup attempt against Mikhail Gorbachev , squares original name was officially restored . The Moscow Metro station Lubyanka operates under Lubyanka Square . Lubyanka Square Lubyanskaya Square ( , Lubyanskaya ploshchad ) , or simply Lubyanka in Moscow lies about north-east of Red Square . History first records its name in 1480 , when 1991 street was known as Dzerzhinskogo Street , after Felix Dzerzhinsky . Bolshaya Lubyanka Street Bolshaya Lubyanka Street is radial street in Moscows Central Administrative Okrug . The street runs north-east from Lubyanka Square to Sretenka Gates Square on Boulevard Ring ."
Dzerzhinskogo Street,was known as,1991 street,"History first records its name in 1480 , when 1991 street was known as Dzerzhinskogo Street , after Felix Dzerzhinsky ."
Bolshaya Lubyanka Street,is a radial street in,Moscow Central Administrative Okrug,Bolshaya Lubyanka Street is radial street in Moscows Central Administrative Okrug .
Bolshaya Lubyanka Street,runs north-east from,Lubyanka Square,Bolshaya Lubyanka Street is radial street in Moscows Central Administrative Okrug . The street runs north-east from Lubyanka Square to Sretenka Gates Square on Boulevard Ring .
Bolshaya Lubyanka Street,is a,radial street in Moscows Central Administrative Okrug,Bolshaya Lubyanka Street Bolshaya Lubyanka Street is radial street in Moscows Central Administrative Okrug .
Bolshaya Lubyanka Street,runs north-east from,Lubyanka Square to Sretenka Gates Square on Boulevard Ring,The street runs north-east from Lubyanka Square to Sretenka Gates Square on Boulevard Ring .
Bolshaya Lubyanka Street,is continued by,Sretenka Street ( to Garden Ring ),"The path of Bolshaya Lubyanka is continued by Sretenka Street ( to Garden Ring ) , Mira Avenue Yaroslavskoye Shosse is starting stretch of route of M8 highway ( Kholmogory ) , connecting Moscow to Sergiyev Posad , Yaroslavl , Vologda , Arkhangelsk ."
Bolshaya Lubyanka Street,serves as boundary between,Meshchansky District ( west from Bolshaya Lubyanka ) and Krasnoselsky District ( east ),The street serves as boundary between Meshchansky District ( west from Bolshaya Lubyanka ) Krasnoselsky District ( east ) .
Lubyanka Criminal Group,is a book by,Alexander Litvinenko,Lubyanka Criminal Group Lubyanka Criminal Group ( also translated as The Gang from Lubyanka ) is book by Alexander Litvinenko about alleged transformation of Russian Security Services into criminal terrorist organization .
Lubyanka Criminal Group,is about alleged transformation of Russian Security Services into,criminal terrorist organization,Lubyanka Criminal Group Lubyanka Criminal Group ( also translated as The Gang from Lubyanka ) is book by Alexander Litvinenko about alleged transformation of Russian Security Services into criminal terrorist organization .
Lubyanka Criminal Group,"claims that Russian president Vladimir Putin and other FSB officers have been involved in organized crime, including covering up drug traffic from Afghanistan","organized crime, including covering up drug traffic from Afghanistan","In book , authors claim that Russian president Vladimir Putin other FSB officers have been involved in organized crime , including covering up drug traffic from Afghanistan ."
Central Childrens Store on Lubyanka,is,toy department store in,"Central Childrens Store on Lubyanka The Central Childrens Store is toy department store in Moscow , Russia ."
Central Childrens Store on Lubyanka,is located in,Moscow,"Central Childrens Store on Lubyanka The Central Childrens Store is toy department store in Moscow , Russia ."
Central Childrens Store on Lubyanka,reopened on,"March 31 , 2015","On March 31 , 2015 original Detsky Mir building reopened under new name Central Childrens Store or Central Childrens Store on Lubyanka ."
Central Childrens Store on Lubyanka,is part of,seven store mall complex,"With 100 stores in seven store mall complex , Central Childrens Store opened as largest complex of childrens stores in world , according to its developer Hals-Development ."
Central Childrens Store on Lubyanka,was opened on,"June 6 , 1957","The shop opened on June 6 , 1957 . It was Russias largest toy shop from 1957 until 2008 , when it was sold by Detsky Mir to new owners ."
Central Childrens Store on Lubyanka,was sold by,Detsky Mir,"The store was purchased by VTB in 2008 was closed for restoration , with cost of restoration estimated at US 138 million . It was Russias largest toy shop from 1957 until 2008 , when it was sold by Detsky Mir to new owners ."
Central Childrens Store on Lubyanka,was purchased by,VTB,"The store was purchased by VTB in 2008 was closed for restoration , with cost of restoration estimated at US 138 million . It was Russias largest toy shop from 1957 until 2008 , when it was sold by Detsky Mir to new owners ."
Central Childrens Store on Lubyanka,was closed for,renovation,"On July 1 , 2008 shopping center closed for renovation ."
store,was purchased by,VTB,"The store was purchased by VTB in 2008 was closed for restoration , with cost of restoration estimated at US 138 million . On July 1 , 2008 shopping center closed for renovation . Only outer perimeter walls Central Childrens Store on Lubyanka The Central Childrens Store is toy department store in Moscow , Russia . On March 31 , 2015 original Detsky Mir building reopened under new name Central Childrens Store or Central Childrens Store on Lubyanka . With 100 stores in seven store mall complex , Central Childrens Store opened as largest complex of childrens stores in world , according to its developer Hals-Development . Hals-Development is subsidiary of state banking group VTB . Detsky Mir no longer owns original store it opened in Moscow . The store was built between 1953 1957 in unbeaten in last 15 matches . At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Central Childrens Store,is,toy department store,"The Central Childrens Store is toy department store in Moscow , Russia . On March 31 , 2015 original Detsky Mir building reopened under new name Central Childrens Store or Central Childrens Store on Lubyanka . With 100 stores in seven store mall complex , Central Childrens Store opened as largest complex of childrens stores in world , according to its developer Hals-Development . Hals-Development is subsidiary of state banking group VTB . Detsky Mir no longer owns original store it opened in Moscow . The store was built between 1953 1957 in unbeaten in last 15 matches . At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Central Childrens Store,was built between,1953 and 1957,"The store was built between 1953 1957 in unbeaten in last 15 matches . At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Central Childrens Store,was built in,Moscow,"The Central Childrens Store is toy department store in Moscow , Russia . On March 31 , 2015 original Detsky Mir building reopened under new name Central Childrens Store or Central Childrens Store on Lubyanka . With 100 stores in seven store mall complex , Central Childrens Store opened as largest complex of childrens stores in world , according to its developer Hals-Development . Hals-Development is subsidiary of state banking group VTB . Detsky Mir no longer owns original store it opened in Moscow . The store was built between 1953 1957 in unbeaten in last 15 matches . At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Central Childrens Store,opened as,largest complex of childrens stores in world,"With 100 stores in seven store mall complex , Central Childrens Store opened as largest complex of childrens stores in world , according to its developer Hals-Development . Hals-Development is subsidiary of state banking group VTB . Detsky Mir no longer owns original store it opened in Moscow . The store was built between 1953 1957 in unbeaten in last 15 matches . At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Hals-Development,is subsidiary of,state banking group VTB,"With 100 stores in seven store mall complex , Central Childrens Store opened as largest complex of childrens stores in world , according to its developer Hals-Development . Hals-Development is subsidiary of state banking group VTB . Detsky Mir no longer owns original store it opened in Moscow . The store was built between 1953 1957 in unbeaten in last 15 matches . At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Dinamo,won,4–1,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Dinamo,was tied with,Torpedo Moscow,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Dinamo,was named,Golden Guys,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
France Football,wrote,Dinamo has great players,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Georgia,celebrated,victory by naming their team,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Golden Guys,is,team named by Georgian supporters,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Torpedo Moscow,was tied with,Dinamo,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Torpedo Moscow,was tied with,Dinamo,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Torpedo Moscow,was tied with,Dinamo,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Torpedo Moscow,was tied with,Dinamo,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Torpedo Moscow,was tied with,Dinamo,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Torpedo Moscow,was tied with,Dinamo,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 . Georgian supporters celebrated victory by naming their team Golden Guys . A popular French magazine , France Football , wrote Dinamo has great players ."
Dinamo,tied with,Torpedo Moscow,"At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 ."
Dinamo,won additional match in,"Tashkent, Uzbekistan","At end , Dinamo was tied with Torpedo Moscow so teams played additional match in Tashkent , Uzbekistan , which Dinamo won 4–1 ."
Georgian supporters,celebrated victory by naming their team,Golden Guys,"A popular French magazine , France Football , wrote Dinamo has great players . Their technique , skills playing intellect enables us to name them best Eastern representatives of South American Football Traditions , if Dinamo were able to participate in UEFA European Cup , we are certain , they would bring hegemony of Spanish-Italian teams to end . However , no Soviet team"
France Football,wrote Dinamo has great players,Dinamo,"A popular French magazine , France Football , wrote Dinamo has great players . Their technique , skills playing intellect enables us to name them best Eastern representatives of South American Football Traditions , if Dinamo were able to participate in UEFA European Cup , we are certain , they would bring hegemony of Spanish-Italian teams to end . However , no Soviet team"
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,took place between,1910 and 1913,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,had various scientific geographical objectives,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova Expedition,was led by,Robert Falcon Scott,"The Terra Nova Expedition , officially British Antarctic Expedition , was expedition to Antarctica which took place between 1910 1913 . It was led by Robert Falcon Scott had various scientific geographical objectives ."
Terra Nova,was,whaler polar expedition ship,Terra Nova (ship) Terra Nova was whaler polar expedition ship.
Terra Nova,is best known for carrying,1910 British Antarctic Expedition,"Terra Nova (ship) Terra Nova was whaler polar expedition ship. She is best known for carrying 1910 British Antarctic Expedition, Robert Falcon Scotts last expedition."
Terra Nova,was built in,1884,Terra Nova (Latin for New land) was built in 1884 for Dundee whaling sealing fleet.
Terra Nova,was built for,Dundee whaling sealing fleet,Terra Nova (Latin for New land) was built in 1884 for Dundee whaling sealing fleet.
Terra Nova,worked for,10 years in annual seal fishery in Labrador Sea,"Terra Nova (ship) Terra Nova was whaler polar expedition ship. She is best known for carrying 1910 British Antarctic Expedition, Robert Falcon Scotts last expedition. Terra Nova (Latin for New land) was built in 1884 for Dundee whaling sealing fleet. She was ideally suited to polar regions worked for 10 years in annual seal fishery in Labrador Sea, proving her worth for many years before she was called upon for expedition work."
Terra Nova,was called upon for,expedition work,"Terra Nova (ship) Terra Nova was whaler polar expedition ship. She is best known for carrying 1910 British Antarctic Expedition, Robert Falcon Scotts last expedition. Terra Nova (Latin for New land) was built in 1884 for Dundee whaling sealing fleet. She was ideally suited to polar regions worked for 10 years in annual seal fishery in Labrador Sea, proving her worth for many years before she was called upon for expedition work."
Commander Robert Falcon Scott,was promoted to rank of,captain,"On return to UK, expedition leader Commander Robert Falcon Scott was promoted to rank of captain."
She,worked in,annual seal fishery in Labrador Sea,"She was ideally suited to polar regions worked for 10 years in annual seal fishery in Labrador Sea , proving her worth for many years before she was called upon for Sound ."
She,worked for,10 years,"She was ideally suited to polar regions worked for 10 years in annual seal fishery in Labrador Sea , proving her worth for many years before she was called upon for Sound ."
She,proven worth for,many years,"She was ideally suited to polar regions worked for 10 years in annual seal fishery in Labrador Sea , proving her worth for many years before she was called upon for Sound ."
